TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,CONSTRAINT_CATALOG,CONSTRAINT_SCHEMA,CONSTRAINT_NAME
FSP_V3_Production,dbo,LendingSubmissions,LendingSubmissionId,FSP_V3_Production,dbo,PK_LendingSubmissions
FSP_V3_Production,dbo,LessonNames,_RowNumber,FSP_V3_Production,dbo,PK_LessonNames
FSP_V3_Production,dbo,LocationToIcaoLocationsJoiner,IcaoLocationJoinerId,FSP_V3_Production,dbo,PK_LocationToIcaoLocationsJoiner
FSP_V3_Production,dbo,LogTenSyncStatus,FlightRecordId,FSP_V3_Production,dbo,PK_LogTenSyncStatus
FSP_V3_Production,dbo,LogTenSyncStatus,GlobalUserId,FSP_V3_Production,dbo,PK_LogTenSyncStatus
FSP_V3_Production,dbo,MaintenanceReminderCalculationJobs_old,_RowId,FSP_V3_Production,dbo,PK_MaintenanceReminderCalculationJobs
FSP_V3_Production,dbo,MaintenanceReminderCalculationJobs,_RowId,FSP_V3_Production,dbo,PK_MaintenanceReminderCalculationJobs2
FSP_V3_Production,dbo,MaintenanceReminderResolutions,_RowId,FSP_V3_Production,dbo,PK_MaintenanceReminderResolutions
FSP_V3_Production,dbo,MaintenanceReminders,_RowId,FSP_V3_Production,dbo,PK_MaintenanceReminders
FSP_V3_Production,dbo,MaintenanceReminderTemplates,_RowId,FSP_V3_Production,dbo,PK_MaintenanceReminderTemplates
FSP_V3_Production,dbo,MassEmailAttachments,_rowId,FSP_V3_Production,dbo,PK_MassEmailAttachments
FSP_V3_Production,dbo,MassEmailPeopleGroupIds,_RowId,FSP_V3_Production,dbo,PK_MassEmailPeopleGroupIds
FSP_V3_Production,dbo,MassEmailRoleIds,_RowId,FSP_V3_Production,dbo,PK_MassEmailRoleIds
FSP_V3_Production,dbo,MassEmails,_rowId,FSP_V3_Production,dbo,PK_MassEmails
FSP_V3_Production,dbo,MassEmailUserIds,_RowId,FSP_V3_Production,dbo,PK_MassEmailUserIds
FSP_V3_Production,dbo,MechanicCertificate,_RowId,FSP_V3_Production,dbo,PK_MechanicCertificate
FSP_V3_Production,dbo,MeetingRooms,_RowNumber,FSP_V3_Production,dbo,PK_MeetingRooms
FSP_V3_Production,dbo,MembershipSettings,_RowNumber,FSP_V3_Production,dbo,PK_MembershipSettings
FSP_V3_Production,dbo,MembershipSubscriptions,_RowNumber,FSP_V3_Production,dbo,PK_MembershipSubscriptions
FSP_V3_Production,dbo,MembershipSubscriptionsHistory,_RowNumber,FSP_V3_Production,dbo,PK_MembershipSubscriptionsHistory
FSP_V3_Production,dbo,OperatorAgreementHistory,OperatorAgreementHistoryId,FSP_V3_Production,dbo,PK_OperatorAgreementHistory
FSP_V3_Production,dbo,OperatorAgreements,OperatorAgreementId,FSP_V3_Production,dbo,PK_OperatorAgreements
FSP_V3_Production,dbo,OperatorServices,_RowNumber,FSP_V3_Production,dbo,PK_OperatorServices
