DatabaseName,SchemaName,TableName,IndexName,IndexType,IsUnique,IsPrimaryKey,IsUniqueConstraint,ColumnName,KeyOrdinal,IsIncludedColumn
fsp-165587,dbo,CourseTimeFields,ix_CourseTimeFields_CourseId_OperatorId,NONCLUSTERED,false,false,false,OperatorId,2,false
fsp-165587,dbo,CourseTimeFields,nci_wi_CourseTimeFields_2C18CC036ABA746ED7CE949BB5646133,NONCLUSTERED,false,false,false,FieldId,0,true
fsp-165587,dbo,CourseTimeFields,nci_wi_CourseTimeFields_2C18CC036ABA746ED7CE949BB5646133,NONCLUSTERED,false,false,false,IsLocked,0,true
fsp-165587,dbo,CourseTimeFields,nci_wi_CourseTimeFields_2C18CC036ABA746ED7CE949BB5646133,NONCLUSTERED,false,false,false,CourseId,1,false
fsp-165587,dbo,CourseTimeFields,nci_wi_CourseTimeFields_2C18CC036ABA746ED7CE949BB5646133,NONCLUSTERED,false,false,false,OperatorId,2,false
fsp-165587,dbo,CourseTimeFields,nci_wi_CourseTimeFields_2C18CC036ABA746ED7CE949BB5646133,NONCLUSTERED,false,false,false,Enabled,3,false
fsp-165587,dbo,CourseTimeFields,nci_wi_CourseTimeFields_D6EE5371131DB673C3CECD832608C14E,NONCLUSTERED,false,false,false,IsLocked,0,true
fsp-165587,dbo,CourseTimeFields,nci_wi_CourseTimeFields_D6EE5371131DB673C3CECD832608C14E,NONCLUSTERED,false,false,false,OperatorId,1,false
fsp-165587,dbo,CourseTimeFields,nci_wi_CourseTimeFields_D6EE5371131DB673C3CECD832608C14E,NONCLUSTERED,false,false,false,CourseId,2,false
fsp-165587,dbo,CourseTimeFields,nci_wi_CourseTimeFields_D6EE5371131DB673C3CECD832608C14E,NONCLUSTERED,false,false,false,FieldId,3,false
fsp-165587,dbo,CourseTimeFields,nci_wi_CourseTimeFields_D6EE5371131DB673C3CECD832608C14E,NONCLUSTERED,false,false,false,Enabled,4,false
fsp-165587,dbo,CourseTimeFields,PK_CourseTimeFields,CLUSTERED,true,true,false,_RowId,1,false
fsp-165587,dbo,CourseTrackedTimeFields,nci_wi_CourseTrackedTimeFields_0A9703808436EA29034A0DE90E5C94B2,NONCLUSTERED,false,false,false,FieldId,0,true
fsp-165587,dbo,CourseTrackedTimeFields,nci_wi_CourseTrackedTimeFields_0A9703808436EA29034A0DE90E5C94B2,NONCLUSTERED,false,false,false,Minimum,0,true
fsp-165587,dbo,CourseTrackedTimeFields,nci_wi_CourseTrackedTimeFields_0A9703808436EA29034A0DE90E5C94B2,NONCLUSTERED,false,false,false,CourseId,1,false
fsp-165587,dbo,CourseTrackedTimeFields,nci_wi_CourseTrackedTimeFields_CD2F83D3A36A0E0DDF17D9194C758DF5,NONCLUSTERED,false,false,false,FieldId,0,true
fsp-165587,dbo,CourseTrackedTimeFields,nci_wi_CourseTrackedTimeFields_CD2F83D3A36A0E0DDF17D9194C758DF5,NONCLUSTERED,false,false,false,IsLocked,0,true
fsp-165587,dbo,CourseTrackedTimeFields,nci_wi_CourseTrackedTimeFields_CD2F83D3A36A0E0DDF17D9194C758DF5,NONCLUSTERED,false,false,false,OperatorId,1,false
fsp-165587,dbo,CourseTrackedTimeFields,nci_wi_CourseTrackedTimeFields_CD2F83D3A36A0E0DDF17D9194C758DF5,NONCLUSTERED,false,false,false,CourseId,2,false
fsp-165587,dbo,CourseTrackedTimeFields,nci_wi_CourseTrackedTimeFields_CD2F83D3A36A0E0DDF17D9194C758DF5,NONCLUSTERED,false,false,false,Minimum,3,false
fsp-165587,dbo,CourseTrackedTimeFields,PK_CourseTrackedTimeFields,CLUSTERED,true,true,false,_RowId,1,false
fsp-165587,dbo,CustomCancellationReasons,ix_CustomCancellationReasons_CompanyId_IsDeleted,NONCLUSTERED,false,false,false,CompanyId,1,false
fsp-165587,dbo,CustomCancellationReasons,ix_CustomCancellationReasons_CompanyId_IsDeleted,NONCLUSTERED,false,false,false,IsDeleted,2,false
fsp-165587,dbo,CustomCancellationReasons,PK_CustomCancellationReasons,CLUSTERED,true,true,false,id,1,false
fsp-165587,dbo,CustomerAccounts,IDX_CustomerAccounts_OperatorIdUserId,NONCLUSTERED,false,false,false,OperatorId,1,false
fsp-165587,dbo,CustomerAccounts,IDX_CustomerAccounts_OperatorIdUserId,NONCLUSTERED,false,false,false,UserId,2,false
fsp-165587,dbo,CustomerAccounts,PK_CustomerAccounts,CLUSTERED,true,true,false,_RowNumber,1,false
fsp-165587,dbo,CustomerAccounts,UK_CustomerAccounts,NONCLUSTERED,true,false,true,AccountTransactionId,1,false
fsp-165587,dbo,CustomLessonTasks,nci_wi_CustomLessonTasks_4C69E3272F535CB4E43D7FD3762BA9A9,NONCLUSTERED,false,false,false,OperatorId,1,false
fsp-165587,dbo,CustomLessonTasks,nci_wi_CustomLessonTasks_4C69E3272F535CB4E43D7FD3762BA9A9,NONCLUSTERED,false,false,false,EnrollmentId,2,false
fsp-165587,dbo,CustomLessonTasks,nci_wi_CustomLessonTasks_4C69E3272F535CB4E43D7FD3762BA9A9,NONCLUSTERED,false,false,false,LessonId,3,false
fsp-165587,dbo,CustomLessonTasks,nci_wi_CustomLessonTasks_4C69E3272F535CB4E43D7FD3762BA9A9,NONCLUSTERED,false,false,false,CourseId,4,false
fsp-165587,dbo,CustomLessonTasks,nci_wi_CustomLessonTasks_4C69E3272F535CB4E43D7FD3762BA9A9,NONCLUSTERED,false,false,false,Importance,5,false
fsp-165587,dbo,CustomLessonTasks,nci_wi_CustomLessonTasks_4C69E3272F535CB4E43D7FD3762BA9A9,NONCLUSTERED,false,false,false,AddedAt,6,false
fsp-165587,dbo,CustomLessonTasks,PK_CustomLessonTasks,CLUSTERED,true,true,false,_RowId,1,false
fsp-165587,dbo,CustomLessonTasks,UK_CustomLessonTasks_CustomLessonTaskId,NONCLUSTERED,true,false,true,CustomLessonTaskId,1,false
fsp-165587,dbo,CustomProfileDocumentation,PK_CustomProfileDocumentation,CLUSTERED,true,true,false,_RowId,1,false
fsp-165587,dbo,CustomProfileDocumentation,UK_CustomProfileDocumentation_CustomProfileDocumentationId,NONCLUSTERED,true,false,true,CustomProfileDocumentationId,1,false
fsp-165587,dbo,CustomSquawkResolutions,dbo.IDX_CustomSquawkResolutions_CustomSquawkResolutionId_ResolvesGroundableSquawk,NONCLUSTERED,false,false,false,ResolvesGroundableSquawk,0,true
fsp-165587,dbo,CustomSquawkResolutions,dbo.IDX_CustomSquawkResolutions_CustomSquawkResolutionId_ResolvesGroundableSquawk,NONCLUSTERED,false,false,false,CustomSquawkResolutionId,1,false
fsp-165587,dbo,CustomSquawkResolutions,PK_CustomSquawkResolutions,CLUSTERED,true,true,false,id,1,false
fsp-165587,dbo,CustomTimeFields,PK_CustomTimeFields_CustomTimeFieldId,CLUSTERED,true,true,false,CustomTimeFieldId,1,false
fsp-165587,dbo,CustomTimeFields,UK_CustomTimeFields_FieldId,NONCLUSTERED,true,false,true,FieldId,1,false
fsp-165587,dbo,CustomTimeFields,UK_CustomTimeFields_OperatorId_Name,NONCLUSTERED,true,false,true,OperatorId,1,false
fsp-165587,dbo,CustomTimeFields,UK_CustomTimeFields_OperatorId_Name,NONCLUSTERED,true,false,true,Name,2,false
fsp-165587,dbo,DiscountGroup,PK_DiscountGroups,CLUSTERED,true,true,false,_RowNumber,1,false
fsp-165587,dbo,DiscountGroupPeopleGroupJoiner,PK_DiscountGroupPeopleGroupJoiner,CLUSTERED,true,true,false,DiscountGroupId,1,false
fsp-165587,dbo,DiscountGroupPeopleGroupJoiner,PK_DiscountGroupPeopleGroupJoiner,CLUSTERED,true,true,false,OperatorId,2,false
fsp-165587,dbo,DiscountGroupPeopleGroupJoiner,PK_DiscountGroupPeopleGroupJoiner,CLUSTERED,true,true,false,PeopleGroupId,3,false
fsp-165587,dbo,DiscountGroupRoleJoiner,PK_DiscountGroupRoleJoiner,CLUSTERED,true,true,false,DiscountGroupId,1,false
fsp-165587,dbo,DiscountGroupRoleJoiner,PK_DiscountGroupRoleJoiner,CLUSTERED,true,true,false,OperatorId,2,false
fsp-165587,dbo,DiscountGroupRoleJoiner,PK_DiscountGroupRoleJoiner,CLUSTERED,true,true,false,RoleId,3,false
fsp-165587,dbo,DiscountGroupUserJoiner,PK_DiscountGroupUserJoiner,CLUSTERED,true,true,false,DiscountGroupId,1,false
fsp-165587,dbo,DiscountGroupUserJoiner,PK_DiscountGroupUserJoiner,CLUSTERED,true,true,false,OperatorId,2,false
fsp-165587,dbo,DiscountGroupUserJoiner,PK_DiscountGroupUserJoiner,CLUSTERED,true,true,false,UserId,3,false
fsp-165587,dbo,DocumentUploadBackups,PK_DocumentUploadBackups,CLUSTERED,true,true,false,_RowNumber,1,false
fsp-165587,dbo,DocumentUploads,ix_OperatorId_DocumentTypeId_UserId_UserDocumentationTypeId_AddedToTrashCanAt,NONCLUSTERED,false,false,false,OperatorId,1,false
fsp-165587,dbo,DocumentUploads,ix_OperatorId_DocumentTypeId_UserId_UserDocumentationTypeId_AddedToTrashCanAt,NONCLUSTERED,false,false,false,DocumentTypeId,2,false
fsp-165587,dbo,DocumentUploads,ix_OperatorId_DocumentTypeId_UserId_UserDocumentationTypeId_AddedToTrashCanAt,NONCLUSTERED,false,false,false,UserId,3,false
fsp-165587,dbo,DocumentUploads,ix_OperatorId_DocumentTypeId_UserId_UserDocumentationTypeId_AddedToTrashCanAt,NONCLUSTERED,false,false,false,UserDocumentationTypeId,4,false
fsp-165587,dbo,DocumentUploads,ix_OperatorId_DocumentTypeId_UserId_UserDocumentationTypeId_AddedToTrashCanAt,NONCLUSTERED,false,false,false,AddedToTrashCanAt,5,false
fsp-165587,dbo,DocumentUploads,PK_DocumentUploads,CLUSTERED,true,true,false,_RowNumber,1,false
fsp-165587,dbo,Endorsements,ix_Endorsements_OperatorId_UserId_EndorsementTypeId,NONCLUSTERED,false,false,false,OperatorId,1,false
fsp-165587,dbo,Endorsements,ix_Endorsements_OperatorId_UserId_EndorsementTypeId,NONCLUSTERED,false,false,false,UserId,2,false
fsp-165587,dbo,Endorsements,ix_Endorsements_OperatorId_UserId_EndorsementTypeId,NONCLUSTERED,false,false,false,EndorsementTypeId,3,false
fsp-165587,dbo,Endorsements,PK_Endorsements,CLUSTERED,true,true,false,_RowId,1,false
fsp-165587,dbo,Endorsements,UK_Endorsements_EndorsementId,NONCLUSTERED,true,false,true,EndorsementId,1,false
fsp-165587,dbo,EndorsementsHistory,PK_EndorsementsHistory,CLUSTERED,true,true,false,_RowId,1,false
fsp-165587,dbo,EnrollmentCreditPreviousTotals,nci_wi_EnrollmentCreditPreviousTotals_EA93683341CC50D25975B2140147BD5E,NONCLUSTERED,false,false,false,FieldId,0,true
fsp-165587,dbo,EnrollmentCreditPreviousTotals,nci_wi_EnrollmentCreditPreviousTotals_EA93683341CC50D25975B2140147BD5E,NONCLUSTERED,false,false,false,OperatorId,1,false
fsp-165587,dbo,EnrollmentCreditPreviousTotals,nci_wi_EnrollmentCreditPreviousTotals_EA93683341CC50D25975B2140147BD5E,NONCLUSTERED,false,false,false,EnrollmentId,2,false
fsp-165587,dbo,EnrollmentCreditPreviousTotals,nci_wi_EnrollmentCreditPreviousTotals_EA93683341CC50D25975B2140147BD5E,NONCLUSTERED,false,false,false,Value,3,false
fsp-165587,dbo,EnrollmentCreditPreviousTotals,PK_EnrollmentCreditPreviousTotals,CLUSTERED,true,true,false,_RowId,1,false
fsp-165587,dbo,EnrollmentCredits,PK_EnrollmentCredits,CLUSTERED,true,true,false,_RowId,1,false
fsp-165587,dbo,EnrollmentCredits,UK_EnrollmentCredits_EnrollmentId,NONCLUSTERED,true,false,true,EnrollmentId,1,false
fsp-165587,dbo,EnrollmentDocuments,nci_wi_EnrollmentDocuments_26C113C566371C8C6766A92223933D07,NONCLUSTERED,false,false,false,EnrollmentId,1,false
fsp-165587,dbo,EnrollmentDocuments,nci_wi_EnrollmentDocuments_26C113C566371C8C6766A92223933D07,NONCLUSTERED,false,false,false,OperatorId,2,false
fsp-165587,dbo,EnrollmentDocuments,nci_wi_EnrollmentDocuments_26C113C566371C8C6766A92223933D07,NONCLUSTERED,false,false,false,SignedAtUtc,3,false
fsp-165587,dbo,EnrollmentDocuments,nci_wi_EnrollmentDocuments_6F653A1B4C1C161A05BE0DF4FD33178E,NONCLUSTERED,false,false,false,EnrollmentDocumentId,1,false
fsp-165587,dbo,EnrollmentDocuments,nci_wi_EnrollmentDocuments_6F653A1B4C1C161A05BE0DF4FD33178E,NONCLUSTERED,false,false,false,OperatorId,2,false
fsp-165587,dbo,EnrollmentDocuments,PK_EnrollmentDocuments,CLUSTERED,true,true,false,_RowId,1,false
fsp-165587,dbo,EnrollmentInstructors,ix_EnrollmentInstructors_OperatorId,NONCLUSTERED,false,false,false,EnrollmentId,0,true
fsp-165587,dbo,EnrollmentInstructors,ix_EnrollmentInstructors_OperatorId,NONCLUSTERED,false,false,false,InstructorId,0,true
fsp-165587,dbo,EnrollmentInstructors,ix_EnrollmentInstructors_OperatorId,NONCLUSTERED,false,false,false,OperatorId,1,false
