SchemaName,TableName,ColumnName,StatisticName,IsAutoCreated,IsUserCreated,LastUpdated
dbo,Headings,OperatorId,_WA_Sys_00000006_1328BA3B,true,false,2025-10-21 12:08:47.997
dbo,Headings,OperatorId,nci_wi_Headings_D925C8F98F1EFE6EB89336765BA35BD2,false,false,2025-03-12 21:13:08.290
dbo,Headings,OperatorId,nci_wi_Headings_B9A95A336CDE3A7CB133E66714625055,false,false,
dbo,Headings,PartId,nci_wi_Headings_B9A95A336CDE3A7CB133E66714625055,false,false,
dbo,HistoricalTrainingSessionAirports,_RowId,PK_HistoricalTrainingSessionAirports,false,false,
dbo,HistoricalTrainingSessionAirports,AirportId,UK_HistoricalTrainingSessionAirports_HistoricalTrainingSessionIdAirportIdOrder,false,false,
dbo,HistoricalTrainingSessionAirports,HistoricalTrainingSessionId,UK_HistoricalTrainingSessionAirports_HistoricalTrainingSessionIdAirportIdOrder,false,false,
dbo,HistoricalTrainingSessionAirports,OperatorId,_WA_Sys_00000002_1C481021,true,false,2025-10-21 12:09:18.813
dbo,HistoricalTrainingSessionAirports,Order,UK_HistoricalTrainingSessionAirports_HistoricalTrainingSessionIdAirportIdOrder,false,false,
dbo,HistoricalTrainingSessionCustomTaskGrades,_RowId,PK_HistoricalTrainingSessionCustomTaskGrades,false,false,
dbo,HistoricalTrainingSessionCustomTaskGrades,HistoricalTrainingSessionId,UK_HistoricalTrainingSessionCustomTaskGrades_HistoricalTrainingSessionIdTaskId,false,false,
dbo,HistoricalTrainingSessionCustomTaskGrades,OperatorId,_WA_Sys_00000002_2018A105,true,false,2025-10-20 12:11:25.190
dbo,HistoricalTrainingSessionCustomTaskGrades,TaskId,UK_HistoricalTrainingSessionCustomTaskGrades_HistoricalTrainingSessionIdTaskId,false,false,
dbo,HistoricalTrainingSessions,_RowId,PK_HistoricalTrainingSessions,false,false,
dbo,HistoricalTrainingSessions,HistoricalTrainingSessionId,UK_HistoricalTrainingSessions_HistoricalTrainingSessionId,false,false,
dbo,HistoricalTrainingSessions,OperatorId,IX_HistoricalTrainingSessions_OperatorIdTrainingSessionId_LoggedAt,false,false,2025-10-05 12:08:46.713
dbo,HistoricalTrainingSessions,TrainingSessionId,IX_HistoricalTrainingSessions_OperatorIdTrainingSessionId_LoggedAt,false,false,2025-10-05 12:08:46.713
dbo,HistoricalTrainingSessionTaskGrades,_RowId,PK_HistoricalTrainingSessionTaskGrades,false,false,
dbo,HistoricalTrainingSessionTaskGrades,HistoricalTrainingSessionId,UK_HistoricalTrainingSessionTaskGrades_HistoricalTrainingSessionIdTaskId,false,false,
dbo,HistoricalTrainingSessionTaskGrades,OperatorId,nci_wi_HistoricalTrainingSessionTaskGrades_B1E38BF7C36A4C2CA97ADECFF1E02B22,false,false,2025-10-21 12:09:23.340
dbo,HistoricalTrainingSessionTaskGrades,TaskId,UK_HistoricalTrainingSessionTaskGrades_HistoricalTrainingSessionIdTaskId,false,false,
dbo,HistoricalTrainingSessionTaskGrades,TrainingSessionId,nci_wi_HistoricalTrainingSessionTaskGrades_B1E38BF7C36A4C2CA97ADECFF1E02B22,false,false,2025-10-21 12:09:23.340
dbo,HistoricalTrainingSessionTimes,_RowId,PK_HistoricalTrainingSessionTimes,false,false,
dbo,HistoricalTrainingSessionTimes,FieldId,UK_HistoricalTrainingSessionTimes_HistoricalTrainingSessionIdFieldId,false,false,
